category,is_featured,is_active,name,description,allergens,image_file
Chacinas y Quesos,FALSE,TRUE,Tabla mixta,"Incluye jamón, salchichón, lomito y quesos",Lactosa,
Chacinas y Quesos,TRUE,TRUE,Tabla de quesos artesanos,,Lactosa + Frutos secos,tabla-quesos.png
Chacinas y Quesos,FALSE,TRUE,Tabla de chacinas (embutidos),,Lactosa,
Chacinas y Quesos,TRUE,TRUE,Jamon iberico de bellota,1/2 Ración 60gr / 1 Ración 100gr,,
Chacinas y Quesos,FALSE,TRUE,"Caña de ""Lomo Doblao"" 100% ibérico de bellota",,,
Chacinas y Quesos,FALSE,TRUE,Lomito iberico de bellota,,Lactosa,
Chacinas y Quesos,FALSE,TRUE,Taquitos de salchichon iberico,,Lactosa,
Chacinas y Quesos,FALSE,TRUE,Panceta,,,
Chacinas y Quesos,FALSE,TRUE,Torta de la serena,,Lactosa + Frutos secos + Gluten,
Chacinas y Quesos,FALSE,TRUE,Quesos de oveja o de cabra,,Lactosa + Frutos secos,
Chacinas y Quesos,FALSE,TRUE,Bacalao ahumado en aceite,,Pescado + Sulfitos,
Chacinas y Quesos,FALSE,TRUE,Anchoas del Cantabrico con tomate y AOVE,6 unidades / 9 unidades,Pescado + Gluten,
Chacinas y Quesos,FALSE,TRUE,Sardinitas ahumadas sobre ajoblanco,,Pescado + Gluten + Frutos secos + Sulfitos,
Chacinas y Quesos,FALSE,TRUE,Mojama de atun extra,,Pescado,
Carnes,TRUE,TRUE,Solomillo iberico,300gr aprox.,,
Carnes,TRUE,TRUE,Presa iberica a la parrilla con patatas,,,
Carnes,FALSE,TRUE,Presa iberica a la torta del casar,,Lactosa,
Carnes,FALSE,TRUE,Solomillo iberico al Pedro Ximenez,,Gluten + Sulfitos,
Carnes,FALSE,TRUE,Solomillo iberico al Whisky,,Lactosa + Soja + Sulfitos,
Carnes,FALSE,TRUE,Solomillo iberico al Mojo Picón,,Sulfitos,
Carnes,TRUE,TRUE,Carrillada iberica a los vinos generosos,,Sulfitos,
Carnes,FALSE,TRUE,Medallones de solomillo con salsa de setas,,Lactosa + Sulfitos,
Carnes,FALSE,TRUE,Guarrito frito,,,
Nuestra cocina,FALSE,TRUE,Tartar de salchichón ibérico,,Gluten + Lactosa + Soja,
Nuestra cocina,FALSE,TRUE,Ancas de rana,,Lactosa + Gluten,
Nuestra cocina,FALSE,TRUE,Tortillitas de bacalao,,Pescado + Lactosa + Gluten,
Nuestra cocina,FALSE,TRUE,Chipirones fritos,,Pescado + Gluten,
Nuestra cocina,FALSE,TRUE,Taquitos de merluza fritos,,Pescado + Gluten,
Nuestra cocina,FALSE,TRUE,Croquetas de la casa,,Lactosa + Gluten,
Nuestra cocina,FALSE,TRUE,Queso frito con mermelada de arándanos,,Lactosa + Gluten,
Nuestra cocina,TRUE,TRUE,Bombones de morcilla con manzana caramelizada,,Lactosa + Gluten,
Nuestra cocina,FALSE,TRUE,Ensaladilla con melva,,Pescado + Huevo + Sulfitos,
Nuestra cocina,FALSE,FALSE,Salmorejo,,Gluten + Huevo,
Nuestra cocina,FALSE,TRUE,Aliño de pimientos asados con melva,,Pescado + Sulfitos + Huevo,
Nuestra cocina,FALSE,TRUE,Ensalada de jamón,,Sulfitos,
Nuestra cocina,FALSE,TRUE,Ensalada de tomates con melva,,Pescado + Sulfitos,
Nuestra cocina,FALSE,TRUE,Corazones de alcachofas naturales con jamón,,Sulfitos,
Nuestra cocina,FALSE,TRUE,Pisto con huevo de corral,,Huevo,
Nuestra cocina,FALSE,TRUE,Cazuela de gambas al ajillo,,Crustáceos + Sulfitos,
Nuestra cocina,FALSE,TRUE,Lagrimitas de pollo,,Sulfitos + Gluten + Lactosa + Mostaza + Soja,
Nuestra cocina,FALSE,TRUE,Migas extremeñas,,Gluten,
Nuestra cocina,FALSE,TRUE,Prueba de matanza,,,
Nuestra cocina,FALSE,TRUE,Prueba de morcilla de arroz,,,
Nuestra cocina,FALSE,TRUE,Manitas de cerdo,,Sulfitos,
Nuestra cocina,FALSE,TRUE,Bacalao con tomate a la antigua,,Pescado,
Nuestra cocina,FALSE,TRUE,Huevos rotos con jamón,,Huevo,
Nuestra cocina,FALSE,TRUE,Huevos rotos con prueba de matanza,,Huevo,
Nuestra cocina,FALSE,TRUE,Revuelto de patatas y bacalao,,Huevo + Pescado,
Nuestra cocina,FALSE,TRUE,Habitas mini baby salteadas o revueltas,,Gluten + Huevo,
Nuestra cocina,FALSE,TRUE,Tostón de huevos de codorniz con prueba de matanza o jamón,,Huevo + Gluten,
Nuestra cocina,FALSE,TRUE,Tostón de anchoas del cantábrico y crema de cabrales,,Gluten + Pescado + Lactosa,
Nuestra cocina,FALSE,TRUE,Tostón de tomate con jamón,,Gluten,
Nuestra cocina,FALSE,TRUE,Tostón de salmorejo con bacalao ahumado,,Gluten + Pescado + Sulfitos,
Vinos extremeños (Tintos),FALSE,TRUE,Jarra de pitarra,,Sulfitos,
Vinos extremeños (Tintos),FALSE,TRUE,Blasón del turra cosecha,Tempranillo,Sulfitos,
Vinos extremeños (Tintos),FALSE,TRUE,Palacio quemado crianza,Tempranillo,Sulfitos,
Vinos extremeños (Tintos),FALSE,TRUE,Unadir roble,Tempranillo y syrah,Sulfitos,
Vinos extremeños (Tintos),FALSE,TRUE,Lengua azul,"3 meses barrica. Tempranillo, syrah y graciano",Sulfitos,
Vinos extremeños (Tintos),FALSE,TRUE,V Alaude crianza,Tempranillo y C. Sauvignon,Sulfitos,
Vinos extremeños (Tintos),FALSE,TRUE,Viña Puebla,12 meses barrica. Coupage,Sulfitos,
Vinos extremeños (Tintos),FALSE,FALSE,Theodosivs crianza,Tempranillo,Sulfitos,
Vinos extremeños (Tintos),TRUE,TRUE,Señorío de Orán crianza,Selección barrica. Botella enumerada,Sulfitos,
Vinos extremeños (Tintos),FALSE,TRUE,Alius reserva,Tempranillo y C. Sauvignon,Sulfitos,
Vinos extremeños (Tintos),FALSE,TRUE,Habla del silencio,"Tempranillo, syrah y C. Sauvignon",Sulfitos,
